ID; Nazwa; Cena; Obrazy; Opis; Cechy; Aktywność; Ilość; W sprzedaży 
530;Buty adidas Jake Blauvelt Boot "Black";499.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/G56462_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/G56462_2D_0003.jpg;Buty Męskie;Rozmiary:  39 1/3  40  40 2/3  41 1/3  42 2/3  43 1/3  44  44 2/3  46 38 2/3, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
531;Buty Nike Zoom Span 2 Shield "Black Noir";449.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/921703_001_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/921703_001_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46  47 41, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
532;Buty The North Face Back Chilkat III "TNF Black";449.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/NF0A39V6WE3I05_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/NF0A39V6WE3I05_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
533;Buty Nike Air Max Guile Prem "Black";399.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/916770_001_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/916770_001_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46  47 41, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
534;Buty Nike Classic Cortez SE "Dust";299.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/902801_003_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/902801_003_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  46 41, Kolor: Szary, Sezon: Jesień/Zima;1;200;1
535;Buty The North Face Men's Chilkat III "Carafe Brown";449.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/NF0A39V6ZFDI05_2D_0001~3.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/NF0A39V6ZFDI05_2D_0003~1.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Brązowy, Sezon: Jesień/Zima;1;200;1
536;Buty The North Face Edgewood 7 "Dark Shadow Grey";599.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/NF0A33I6ZU5I05_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/NF0A33I6ZU5I05_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
537;Buty The North Face Men's Edgewood 7" "Urban Navy";599.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/NF0A33I6M6SI05_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/NF0A33I6M6SI05_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Granatowy, Sezon: Jesień/Zima;1;200;1
538;Buty Caterpillar Deplete WP "Brown";399.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/P721722_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/P721722_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Brązowy, Sezon: Jesień/Zima;1;200;1
539;Buty Caterpillar Deplete WP Lace UP Boot "Black Noir";399.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/P721724_2D_0001~3.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/P721724_2D_0003~2.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
540;Buty Nike SB Portmore ll Solar PRM "White";289.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/923115_141_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/923115_141_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Biały, Sezon: Jesień/Zima;1;200;1
541;Buty Nike SB ZOOM Janoski HT "Black";379.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/854321_007_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/854321_007_2D_0003.jpg;Buty Męskie;Rozmiary:  42  43  44  45  46 41, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
542;Buty Asics GT-Cool "Olive";259.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/H436L8602_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/H436L8602_2D_0003.jpg;Buty Męskie;Rozmiary:  39.5  40.5  41  41.5  42.5  43  43.5  44  45  45.5 39, Kolor: Zielony, Sezon: Jesień/Zima;1;200;1
543;Buty Asics GT Quick "Black";259.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/H420L9001_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/H420L9001_2D_0003.jpg;Buty Męskie;Rozmiary:  39  39.5  40.5  41.5  42  42.5  43.5  44  45  46  46.5  47  49 38, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1
544;Buty Asics GT-II "Navy";259.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/H40SK5053_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/H40SK5053_2D_0003.jpg;Buty Męskie;Rozmiary:  40.5  41  41.5  42.5  43  43.5  44  45 39, Kolor: Granatowy, Sezon: Jesień/Zima;1;200;1
