ID; Nazwa; Cena; Obrazy; Opis; Cechy; Aktywność; Ilość; W sprzedaży ;Kategoria
630;Buty Diadora Titan ll W "Vintage Indigo";399.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/50116082560123_2D_0006__3_~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/50116082560123_2D_0006__5_.jpg;Buty Damskie;Rozmiary:  38  38.5  39  40 37, Kolor: Niebieski, Sezon: Jesień/Zima;1;200;1;Buty damskie
631;Buty Diadora Camaro Women "Black";349.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/501159886C2609_2D_0006__3_~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/501159886C2609_2D_0006__5_.jpg;Buty Damskie;Rozmiary:  38  38.5  39  40  40.5  41  42 37, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1;Buty damskie
632;Buty Nike WMNS LD Runner LW "Black";359.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/882266_004_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/882266_004_2D_0003.jpg;Buty Damskie;Rozmiary:  37.5  38  39  40  41 36.5, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1;Buty damskie
633;Buty Nike Air Max Thea Ultra FK "Black";359.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/881175_001_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/881175_001_2D_0003.jpg;Buty Damskie;Rozmiary:  37.5  38  39  40  41 36.5, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1;Buty damskie
634;Buty Nike Internationalist "Summit White";339.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/828407_102_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/828407_102_2D_0003.jpg;Buty Damskie;Rozmiary:  37.5  38  39  40  41 36.5, Kolor: Niebieski, Sezon: Jesień/Zima;1;200;1;Buty damskie
635;Buty Nike Air Max 90 "Black";479.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/325213_043_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/325213_043_2D_0003.jpg;Buty Damskie;Rozmiary:  37.5  38  39  40  41 36.5, Kolor: Biały, Sezon: Jesień/Zima;1;200;1;Buty damskie
636;Buty Nike Internationalist "Particle Pink";339.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/828407_608___10_~2.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/828407_608___12_~1.jpg;Buty Damskie;Rozmiary:  37.5  38  39  40  41 36.5, Kolor: Różowy, Sezon: Jesień/Zima;1;200;1;Buty damskie
637;Buty Nike WMNS Air Huarache Run "Black";379.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/634835_006_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/634835_006_2D_0003.jpg;Buty Męskie;Rozmiary:  37.5  38  39  40  41 36.5, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1;Buty damskie
638;Buty Nike Golkana Boot "Dusty Peach";329.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/862513_203_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/862513_203_2D_0003.jpg;Buty Damskie;Rozmiary:  36.5  38  39 35.5, Kolor: Pomarańczowy, Sezon: Jesień/Zima;1;200;1;Buty damskie
639;Buty Nike WMNS Air Max 90 "Light Bone";479.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/325213_046_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/325213_046_2D_0003.jpg;Buty Damskie;Rozmiary:  37.5  38  39  40  41 36.5, Kolor: Beżowy, Sezon: Jesień/Zima;1;200;1;Buty damskie
640;Buty Nike WMNS Classic Cortez Suede "Mushroom";319.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/AA3839_200_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/AA3839_200_2D_0003.jpg;Buty Damskie;Rozmiary:  38  39  40  41 36.5, Kolor: Beżowy, Sezon: Jesień/Zima;1;200;1;Buty damskie
641;Buty Nike WMNS Court Royale "Black";199.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/749867_003_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/749867_003_2D_0003.jpg;Buty Damskie;Rozmiary:  37.5  38  39  40  41 36.5, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1;Buty damskie
642;'Buty Nike Air Force 1 WMNS ''07 "Black"';369.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/AH0287_001_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/AH0287_001_2D_0003.jpg;Buty Damskie;Rozmiary:  37.5  38  39  40  41 36.5, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1;Buty damskie
643;Buty Nike WMNS Blazer Mid VNTG "Anthracite";379.99;https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/917862_003_2D_0001~1.jpg,https://img.citysport.com.pl/product_img_thumbs_position/cbx350x525/917862_003_2D_0003.jpg;Buty Damskie;Rozmiary:  37.5  38  39  41 36.5, Kolor: Czarny, Sezon: Jesień/Zima;1;200;1;Buty damskie
